Player,MPG,PPG,RPG,APG,PER,STL_PG,BLK_PG,WS/48
Troy Daniels,17.7,8.2,1.5,0.7,10.4,0.3,0.1,0.051
Isaiah Whitehead,22.5,7.4,2.5,2.6,7.5,0.6,0.5,-0.023
Josh Richardson,30.5,10.2,3.2,2.6,10.7,1.1,0.7,0.066
Rajon Rondo,26.7,7.8,5.1,6.7,13.6,1.4,0.2,0.061
Raymond Felton,21.3,6.7,2.7,2.4,10.9,0.8,0.3,0.055
Al Jefferson,14.1,8.1,4.2,0.9,18.9,0.3,0.2,0.119
Al-Farouq Aminu,29.1,8.7,7.4,1.6,11.3,1,0.7,0.051
Sergio Rodriguez,22.3,7.8,2.3,5.1,11,0.7,0.1,0.022
Michael Beasley,16.7,9.4,3.4,0.9,17.8,0.5,0.5,0.093
Ian Clark,14.8,6.8,1.6,1.2,13.1,0.5,0.1,0.099
Montrezl Harrell,18.3,9.1,3.8,1.1,19.2,0.3,0.7,0.183
Jeremy Lin,24.5,14.5,3.8,5.1,19.2,1.1,0.4,0.115
Andre Roberson,30.1,6.6,5.1,1,9.6,1.2,1,0.085
Deron Williams,29.3,13.1,2.5,6.8,15,0.6,0.1,0.073
Amir Johnson,20.1,6.5,4.6,1.8,15,0.7,0.8,0.149
Manu Ginobili,18.7,7.5,2.3,2.7,13.9,1.2,0.2,0.11
Dwight Powell,17.3,6.7,4,0.6,17.6,0.8,0.5,0.165
Jaylen Brown,17.2,6.6,2.8,0.8,10.3,0.4,0.2,0.053
Arron Afflalo,25.9,8.4,2,1.3,9,0.3,0.1,0.043
Garrett Temple,26.6,7.8,2.8,2.6,11.2,1.3,0.4,0.062
Sam Dekker,18.4,6.5,3.7,1,13,0.5,0.3,0.105
Kelly Oubre,20.3,6.3,3.3,0.6,9.1,0.7,0.2,0.062
Rodney Mcgruder,25.2,6.4,3.3,1.6,9.1,0.6,0.2,0.072
Danny Green,26.6,7.3,3.3,1.8,10.2,1,0.9,0.09
Brandon Jennings,24.6,8.6,2.6,4.9,12.7,0.9,0.1,0.052
Kyle O'Quinn,15.6,6.3,5.6,1.5,20.5,0.5,1.3,0.151
Ben Mclemore,19.3,8.1,2.1,0.8,9.8,0.5,0.1,0.015
Buddy Hield,20.4,8.6,2.9,1.4,9.9,0.3,0.1,0.019
Bismack Biyombo,22.1,6,7,0.9,12.2,0.3,1.1,0.077
Jonathon Simmons,17.8,6.2,2.1,1.6,9.9,0.6,0.3,0.068
Domantas Sabonis,20.1,5.9,3.5,1,6.9,0.5,0.4,0.022
Derrick Favors,23.7,9.5,6.1,1.1,15.8,0.9,0.8,0.109
Javale Mcgee,9.6,6.1,3.2,0.2,25.2,0.2,0.9,0.225
